County,DemVote,LibVote,OthVote,RepVote,AllVote
OK@ROGER MILLS,279,46,47,2259,2631
OK@ROGERS,15746,1199,1123,49702,67770
OK@SEMINOLE,3213,172,174,8163,11722
OK@SEQUOYAH,4512,259,389,15340,20500
OK@STEPHENS,4802,500,498,20399,26199
OK@TEXAS,958,149,176,6020,7303
OK@TILLMAN,723,71,58,2832,3684
OK@TULSA,162248,6533,5847,212335,386963
OK@WAGONER,13595,939,820,38310,53664
OK@WASHINGTON,8462,598,522,24602,34184
OK@WASHITA,1108,122,84,5824,7138
OK@WOODS,1043,83,83,4189,5398
OK@WOODWARD,1636,160,171,8790,10757
OR@BAKER,2531,,193,5902,8626
OR@BENTON,29953,,1766,13407,45126
OR@CLACKAMAS,112387,,5829,94232,212448
OR@CLATSOP,11149,,605,8135,19889
OR@COLUMBIA,11810,,965,14221,26996
OR@COOS,12560,,955,17595,31110
OR@CROOK,3730,,273,9899,13902
